"Title","Authors","Publish Date (Year)"
"Algebra & Trigonometry I Essentials (Volume 1) (Essentials Study Guides)","By Research and Education Association (COR)","1998"
"Essentials of Chemistry","By Research and Education Association (COR)","1987"
"My Life in and out of the Rough: The Truth Behind All That Bull**** You Think You Know About Me","By Daly, John and Waggoner, Glen","2006"
"Take Care of Yourself: A Consumer's Guide to Medical Care","By Donald M. Vickery, James F. Fries","1978"
"To Catch A Wolf","By Krinard, Susan","2003"
"Southern Heritage Cakes Cookbook (The Southern heritage cookbook library)","By Southern Heritage (COR)","1983"
"Lyons on Horses: John Lyons' Proven Conditioned-Response Training Program","By Lyons, John and Browning, Sinclair","1991"
"Three Billy Goats Gruff","By Jim Lawrence","1987"
"The X'ed-Out X-Ray (A to Z Mysteries)","By Gurney, John Steven (ILT) and Roy, Ron","2005"
"Pooh Anytime Stories","By Balducci, Rita, Milne, A. A., Simons, Jamie, Kahn, Sheryl, Paz, Orlando De LA (ILT), Murrieta, Ed (ILT), and LA Paz, Orlando De (ILT)","1996"
"Esther","By Traylor, Ellen Gunderson","1988"
"How to select & use photographic gadgets (How-to-do-it books)","By Holzman, Carl, Holzman, Phoebe","1980"
"Alice in Wonderland","By Walt Disney Productions, Mouse Works","1997"
"Bambi","By Disney, Walt","1987"
"The Far Side Gallery (Volume 4)","By Larson, Gary","1984"
"Foliage House Plants","By JAMES UNDERWOOD CROCKETT","1976"
"Standard First Aid","By American National Red Cross","1993"
"Fish and Shellfish Menus (Great Meals in Minutes)","By Time-Life Books Editors","1984"
"I Spy Spooky Night: A Book of Picture Riddles","By Marzollo, Jean and Wick, Walter (PHT)","1996"
"Animals You Will Never Forget","By Reader's Digest","1969"
"About Face: Odyssey of an American Warrior","By Hackworth, David H. and Sherman, Julie","1989"
"Just Be Nice to Your Little Friends! (Pooh: Just Be Nice)","By Ortiz, Phil (ILT), Yee, Josie (ILT), and Kenneth, Caroline","1996"
"Testament: The Bible and History","By Romer, John","1993"
"Jingle Bells","By Kathleen Daly","1988"
"The Shy Little Kitten (Little Golden Books)","By Tenggren, Gustaf (ILT) and Schurr, Cathleen","1999"
"Madeline and the Bad Hat","By Bemelmans, Ludwig","1977"
"The Berenstain Bears and the Ghost of the Forest","By Berenstain, Stan, Berenstain, Jan","1988"
"Six Thick Thumbs: A Tongue-Twisting Tale","By Chesworth, Michael (ILT) and Charney, Steve","1994"
"Angelina in the Wings (Angelina Ballerina)","By Craig, Helen (ILT), Craig, Helen, Holabird, Katharine, and Slade, Barbara","2002"
"Richard Scarry's Best House Ever","By Scarry, Richard (ILT) and Jackson, Kathryn","1989"
"The Greatest Miracle in the World","By Mandino, Og","1983"
"The Greatest Salesman in the World, Part 2: The End of the Story","By Mandino, Og","1989"
"50 Simple Ways to Pamper Your Dog","By Moore, Arden","2000"
"Dog Blessings: A Collection of Poems, Quotes, Facts and Myths","By Lovka, Bob and Broderick, Setsu","2002"
"Why Do Dogs Do That?: Real Answers to the Curious Things Dogs Do","By Thornton, Kim Campbell and Thornton, Kathleen","1999"
"The Big Balloon Race (An I Can Read Book)","By Coerr, Eleanor and Croll, Carolyn (ILT)","1981"
"Life Laughs Last: 200 More Classic Photos from the Famous Back Page of America's Favorite Magazine","By Kunhardt, Philip B.","1989"
"Richard Scarry's Busiest Firefighters Ever (Little Golden Books)","By Scarry, Richard and Scarry, Richard (ILT)","1993"
"The Further Prophecies of Nostradamus: Into the Millennium","By Nostradamus and Cheetham, Erika","1985"
"Buzby to the Rescue (An I Can Read Book)","By Himmelman, John (ILT) and Hoban, Julia","1993"
"Bears on Wheels","By Berenstain, Stan and Berenstain, Jan","1969"
"Interior Style: How to Use Color Throughout Your Home","By Riva, Lesley","2004"
"Peter Cottontail Is on His Way (Little Golden Storybook)","By Karl, Linda (ILT), Nowell, Christopher (ILT), and Posner, Andrea","2000"
"Sue's Secondhand Horse","By Viereck, Phillip","1973"
"Kick, Pass, and Run (I Can Read Level 2)","By Kessler, Leonard","1996"
"Cooking Light Cookbook 1994","By Wesler, Cathy A. (EDT)","1994"
"Who Lives Here? (A Pop-Up Book)","By","2000"
"The Princess of the Fillmore Street School (Olivia Sharp: Agent for Secrets)","By Sharmat, Marjorie Weinman, Brunkus, Denise (ILT), and Sharmat, Mitchell","2005"
"When God & Cancer Meet","By Eib, Lynn and Jackson, Lisa A. (EDT)","2002"
"After God's Heart     A woman's Workshop","By Alexander, Myrna","1989"
"The Disappearance (W.I.T.C.H. Chapter Books #2)","By Lenhard, Elizabeth","2004"
"Uncle John's Absolutely Absorbing Bathroom Reader (Uncle John's Bathroom Reader #12)","By Bathroom Readers' Institute","2002"
"Practical Healthy Eating","By a","2003"
"FRANKLIN PLAYS THE GAME (PAPERBACK) 1995 SCHOLASTIC","By Bourgeois, Paulette and Clark, Brenda (ILT)","1999"
"Pooh's Bedtime Book (Winnie-the-Pooh)","By Milne, A. A.","1980"
"She Works/He Works: How Two-Income Families Are Happier, Healthier, and Better-Off","By Rivers, Caryl and Barnett, Rosalind C.","1996"
"French at a Glance: Phrase Book and Dictionary for Travelers","By Stein, Gail","1984"
"Developmentally Appropriate Practice in Early Childhood Programs Serving Children from Birth Through Age 8 (NAEYC :)","By Bredekamp, Sue (EDT)","1987"
"The Lake District (Passport's Regional Guides of Great Britain)","By Gerrard, Mike and Morrison, John","1996"
"Cookbook for Diabetics and Their Families","By Leisure Arts","1984"
"A Little Spoonful of Chicken Soup for the Teenage Soul (Chicken Soup for the Soul)","By Canfield, Jack (COM) and Hansen, Mark Victor (COM)","1999"
"Disney's Chip 'n Dale Rescue Rangers: The big cheese caper (A Little golden book)","By Deborah Kovacs, Darrell Baker (Illustrator)","1991"
"Nate the Great and the Monster Mess","By Weston, Martha (ILT) and Sharmat, Marjorie Weinman","2001"
"Great Book Of Whodunit Puzzles: Mini-Mysteries For You To Solve","By Travis, Falcon","1993"
"The New Baby at Your House","By Cole, Joanna, Miller, Margaret (ILT), and Miller, Margaret (PHT)","1999"
"The Incredible Dash (The Incredibles Step into Reading, Step 3)","By Shealy, Dennis R.","2004"
"Dancing with Manatees (Hello Reader!, Level 4)","By McNulty, Faith and Shiffman, Lena (ILT)","1994"
"I Am Water (Scholastic Reader, Level 1)","By Marzollo, Jean and Moffatt, Judith (ILT)","1996"
"Scholastic Reader Level 2: Wake Me in Spring!","By Preller, James and Scherer, Jeffrey (ILT)","1994"
"I Can Count to 100...Can You? (Pictureback(R))","By Katherine Howard","1979"
"Little Bear's Friend (An I Can Read Book)","By Minarik, Else Holmelund and Sendak, Maurice (ILT)","1984"
"Meet Babar and His Family","By Brunhoff, Laurent de","1973"
"Father Bear Comes Home (I Can Read Level 1)","By Minarik, Else Holmelund and Sendak, Maurice (ILT)","1978"
"The Berenstain Bears Go to the Doctor (First Time Books)","By Berenstain, Stan and Berenstain, Jan","1981"
"Say Good Night","By Gregorich, Barbara","1996"
"Frommer's Born to Shop Italy","By Gershman, Suzy","1997"
"Nate the Great Goes Undercover","By Sharmat, Marjorie Weinman","1978"
"Good Dog, Carl (Star & elephant book)","By Alexandra Day","1991"
"Spongebob Superstar (SPONGEBOB SQUAREPANTS CHAPTER BOOKS)","By Auerbach, Annie and O'Hare, Mark (ILT)","2001"
"Richard Scarry: Treasure Hunt (The Busy World of Richard Scarry)","By Scarry, Richard","1995"
"Martin Leman's Teddy Bears","By Leman, Martin and Leman, Jill","1989"
"The Golden Songbook","By Wessells, Katharine","1981"
"Little Golden Picture Dictionary (Little Golden Book)","By Golden Books Publishing Company, De John, Marie (ILT), and De John, Marie","2001"
"Barbie & the Scavenger Hunt (Little Golden Book)","By Packard, Mary and S. I. Artists (ILT)","1999"
"The Sunday Philosophy Club (Isabel Dalhousie Series)","By McCall Smith, Alexander","2005"
"Parents Cry Too!","By Sparks, Lillian","1990"
"Granta 29: New World","By Buford, Bill (EDT)","1989"
"The Nectar of Instruction","By A. C. Bhaktivedanta Swami Prabhupada","1993"
"Oops!: The Manners Guide for Girls","By Tilley, Debbie (ILT) and Holyoke, Nancy","1997"
"How to Write and Sell Children's Picture Books","By Karl, Jean","1994"
"Wishes and Dreams (Mary-Kate & Ashley Sweet 16, #2)","By Olsen, Ashley, Olsen, Mary-Kate, and Clark, Kathy","2002"
"Playing for Keeps","By Nixon, Joan Lowery","2003"
"The Landry News","By Selznick, Brian (ILT) and Clements, Andrew","2000"
"The Trillion Dollar Meltdown: Easy Money, High Rollers, and the Great Credit Crash","By Morris, Charles R.","2008"
"My Life with the Chimpanzees","By Goodall, Jane","1996"
"Footprints","By Margaret fishback Powers","1998"
"Baby Donald at the Playground (Disney Babies Board Book)","By Golden Book (COR)","1986"
"Witness","By Hesse, Karen","2003"
"Top Secret","By Simont, Marc (ILT) and Gardiner, John Reynolds","1995"
"Pippi in the South Seas","By Lindgren, Astrid","1974"
"William: England's Price of Hearts","By Bego, Mark and Morreale, Marie","1998"
"The Elements of Style, Third Edition","By White, E. B. and Strunk, William","1995"
"A Colonial Town: Williamsburg (Historic Communities (Paperback))","By Kalman, Bobbie","1991"
"Colonial Life (Historic Communities (Paperback))","By Kalman, Bobbie","1992"
"The Beer Lover's Rating Guide: Revised and Updated","By Klein, Robert","2000"
"History of the Indians, of North and South America (Parley's cabinet library)","By Goodrich, Samuel G","1844"
"Your Life is Your Message: Finding Harmony With Yourself, Others, and the Earth","By Easwaran, Eknath","1996"
"In Person: The Prince and the Princess of Wales","By Burnet, Alastair","1988"
"Winter at Long Pond","By George, William T.","1992"
"Coming and Going: A Book of Opposites (Thomas the Tank Engine)","By Pam Posey","1991"
"Ortho's All About Bathroom Remodeling (Ortho's All About Home Improvement)","By Ortho Books, Hodgson, Larry, Johnson, Karen K., and Hunter, Linda Mason","1998"
"Wood projects for the garden (Ortho book series)","By Ortho Books","1976"
"Better Homes and Gardens Vegetables and Herbs You Can Grow","By Knox, Gerald (EDT)","1978"
"The Snapper: A Novel (The Barrytown Trilogy)","By Doyle, Roddy","1992"
"Responsibility: Annie Shows Off! (Adventures from the Book of Virtues)","By Canning, Shelagh and Henry, Davis (ILT)","1996"
"Young Melvin and Bulger","By Mark Taylor","1980"
"Fools Crow (Contemporary American Fiction)","By Welch, James","1987"
"Dream Boy","By Reit, Ann","1986"
"Disney's Where Is Christopher Robin?","By unknown","2000"
"Shoes (Reading Rainbow Books)","By Winthrop, Elizabeth","1988"
"The Several Tricks of Edgar Dolphin","By Nathaniel Benchley","1970"
"Encyclopedia Brown Boy Detective (Encyclopedia Brown #1)","By Sobol, Donald J.","1985"
"Let's Go Trucks!","By David L Harrison","1973"
"We're Taking An Airplane (Look-Look)","By Bracken, Carolyn (ILT) and Moche, Dinah L.","1997"
"The Great Waldo Search","By Handford, Martin","1989"
"Funky Phobias","By Corinne Pyle","2004"
"Primary Colors","By Anonymous and Klein, Joe","1996"
"Better Homes and Gardens All-Time Favorite Fruit Recipes","By unknown","1980"
"Amazing Snakes (Eyewitness Junior)","By Parsons, Alexandra, Young, Jerry (ILT), and Young, Jerry (PHT)","1990"
"Spy Kids 2: The Island of Lost Dreams: The Official Movie Storybook - Junior Novel","By Thorpe, Kiki and Rodriguez, Robert","2002"
"A Hero in Every Heart: Champions from All Walks of Life Share Powerful Messages to Inspire the Hero in Each of Us","By Brown, H. Jackson (EDT) and Spizman, Robyn (EDT)","1996"
"National Geographic's Guide to the National Parks of the United States","By Newhouse, Elizabeth L. (EDT)","1992"
"In Step with God","By Cook, Robert A.","1984"
"Not That You Asked...","By Rooney, Andrew A.","1990"
"Tortilla International (Cole's Cooking Companion)","By Cole Group (EDT)","1996"
"Arthur's Halloween: An Arthur Adventure","By Brown, Marc Tolon","1983"
"Reckless Endangerment","By Tanenbaum, Robert K.","1998"
"Southern Living - Chocolate Fantasies","By Oxmoor House","1987"
"All Time Favorite Christmas Cookies","By Editor","1999"
"The Book of Mormon: Another Testament of Jesus Christ","By","1981"
"Property","By Martin, Valerie","2004"
"Jonathan's Amazing Adventure (Happy Times Adventure)","By Hall, Susan (ILT) and Frost, Erica","1986"
"Lizard Music","By Pinkwater, Daniel Manus","1988"
"Marriage is for Keeps: Foundations for Christian Marriage","By Kippley, John F.","1995"
"101 Famous Poems","By Cook, Roy Jay","1981"
"The Wild Life of Dogs: A Rubes Cartoon Book","By Rubin, Leigh","2003"
"Biology I Essentials (Volume 1) (Essentials Study Guides)","By Research and Education Association and Gross, Lauren","1998"
"The First Rumpole Omnibus","By Mortimer, John Clifford","1984"
"Calligraphy: Techniques & Uses","By Metcalf, Eugene","1991"
"And That's My Final Offer!","By Trudeau, G. B.","1980"
"Ellis Island (Cornerstones of Freedom Second Series)","By Stein, R. Conrad","1992"
"Bet You Can! Science Possibilities to Fool You","By Cobb, Vicki, Darling, Kathy, and Ormai, Stella (ILT)","1989"
"Dickens' Great Expectations (Cliffs Notes) (Cliffs notes on--)","By Cliffs Notes, Inc. and Jacobson, Arnie","1959"
"Dickens' A Tale of Two Cities (Cliffs Notes)","By Weigel, James (EDT)","1960"
"Up Went the Goat - level 1","By Gregorich, Barbara","1984"
"Kilmer's Pet Monster (Bailey City Monsters)","By Dadey, Debbie, Jones, Marcia Thornton, and Gurney, John Steven (ILT)","1999"
"Whales! (Know-It-Alls Ser)","By Trimble, Irene and Harris, Greg (ILT)","1999"
"Rudolph the Red-Nosed Reindeer","By Scarry, Richard (ILT), Hazen, Barbara Shook, and May, Robert Lewis","1976"
"More Top Secret Recipes: More Fabulous Kitchen Clones of America's Favorite Brand-Name Foods","By Wilbur, Todd","1994"
"One Hundred and One Dalmatians","By Walt Disney Company and Braybrooks, Ann","1991"
"Mystery in the Sand (16) (The Boxcar Children Mysteries)","By Warner, Gertrude Chandler","1990"
"Koya Delaney and the Good Girl Blues","By Greenfield, Eloise","1995"
"Spanish","By Barcharts","1998"
"Hip Hop Til You Drop (Full House Stephanie)","By Speregen, Devra Newberger","1994"
"The Practical Carpenter","By Perry, Andrew","1979"
"Esther","By Couchman, Judith and Grant, Janet Kobobel","1999"
"The Terrible Truth About Third Grade (Making the Grade)","By McGuire, Leslie and Henderson, David F. (ILT)","1991"
"Famous Places Mazes: Journey Through the World","By Nevins, Dan","1992"
"High Marks for Malice (Nancy Drew Files, Case 32)","By Keene, Carolyn","1989"
"Troy Aikman Steve Young","By Brenner, J.","1994"
"Simple Science Experiments With Everyday Materials","By Mandell, Muriel","1990"
"Reader's Digest Word Power Quiz Book: 1,000 Word Challenges from America's Most Popular Magazine (50th Anniversary Celebration)","By Reader's Digest","1995"
"Earthly Possessions","By Tyler, Anne","1986"
"Amazing Logic Puzzles","By Willis, Norman D., Sharpe, Jim (ILT), and Sharpe, Jim","1994"
"Comets, Stars, Planets: Halley's Comet/#07607","By Henbest, Nigel","1986"
"Love Is a Handful of Honey","By Cabban, Vanessa (ILT) and Andreae, Giles","1999"
"30-minute meals","By Draudt, Susan Brown","1987"
"The Plains of Passage","By Auel, Jean M.","1991"
"All about ground covers: [for slopes, walkways, rock gardens, wide open spaces, and nooks & crannies] (Ortho book series)","By Dimond, Don","1977"
"It Was On Fire When I Lay Down On It","By Fulghum, Robert","1991"
"The Best of Martha Stewart Living: Holidays","By Martha Stewart Living","1993"
"Noah's Ark (Golden Bible Stories)","By Broughton, Pamela","1985"
"The Western Maryland Railway Story: A chronicle of the first century, 1852-1952","By Harold A Williams","1952"
"Lake Mead & Hoover Dam: The Story Behind the Scenery","By Maxon, James C. and Dendooven, Gweneth Reed","1980"
"Postmortem (Kay Scarpetta)","By Cornwell, Patricia Daniels","2003"
"Very Truly Yours","By Beard, Julie","2001"
"The Simple Guide to Labrador Retrievers","By Boneham, Sheila","2003"
"The Husband Test: A Novel (Brides of Virtue)","By Krahn, Betina M.","2001"
"Disney's Pocahontas: Into the Forest (Golden Books)","By Packard, Mary and Baker, Darrell (ILT)","1995"
"Walt Disney's Dumbo (A Golden Super Shape Book)","By S","1977"
"The Legend of Sleepy Hollow","By Hall, Melanie W. (ILT) and Littledale, Freya","1992"
"the ghost of five owl farm","By gage, wilson","1966"
"Honks Big Adventure (Noah's Park)","By Sharp, Chris (ILT) and Hays, Richard","2000"
"Behind the Lines: Powerful and Revealing American and Foreign War Letters---and One Man's Search to Find Them","By Carroll, Andrew (EDT)","2005"
"The Farm Book (A Golden Super Shape Book)","By Pfloog, Jan and Pfloog, Jan (ILT)","1999"
"The Tale of Peter Rabbit","By Potter, Beatrix and Graham, Florence (ILT)","1991"
"The Penny Whistle","By Hoff, B. J.","1996"
"Space Case (Puffin Pied Piper)","By Marshall, James and Marshall, Edward","1992"
"Beware of Doug","By Fox, Elaine","2007"
"Bacterial Pathogenesis: A Molecular Approach","By Salyers, Abigail A. and Whitt, Dixie D.","1994"
"Genes & Genomes","By Berg, Paul and Singer, Maxine","1991"
"On the Street Where You Live","By Clark, Mary Higgins","2002"
"God's Awesome Promises For Teens and Friends","By Countryman, Jack","1995"
